0,0,0
15:35:51.304,Node1,-58
15:35:51.304,Node0,-54
15:35:51.304,Node3,-55
15:35:51.304,Node5,-54
15:35:51.304,Node2,-52
15:36:8.428,Node1,-59
15:36:8.428,Node0,-60
15:36:8.428,Node3,-60
15:36:8.428,Node5,-58
15:36:8.428,Node2,-48
15:36:23.368,Node1,-66
15:36:23.368,Node0,-58
15:36:23.368,Node3,-58
15:36:23.368,Node5,-59
15:36:23.368,Node2,-48
15:36:40.306,Node1,-70
15:36:40.306,Node0,-61
15:36:40.306,Node3,-58
15:36:40.306,Node5,-58
15:36:40.306,Node2,-49
15:36:55.158,Node1,-65
15:36:55.158,Node0,-59
15:36:55.158,Node3,-60
15:36:55.158,Node5,-57
15:36:55.158,Node2,-50
15:37:12.053,Node1,-61
15:37:12.053,Node0,-58
15:37:12.053,Node3,-60
15:37:12.053,Node5,-55
15:37:12.053,Node2,-52
15:37:31.137,Node1,-80
15:37:31.137,Node0,-59
15:37:31.137,Node3,-63
15:37:31.137,Node5,-55
15:37:31.137,Node2,-50
15:37:46.037,Node1,-71
15:37:46.037,Node0,-56
15:37:46.037,Node3,-59
15:37:46.037,Node5,-58
15:37:46.037,Node2,-48
15:38:1.29,Node1,-63
15:38:1.29,Node0,-57
15:38:1.29,Node3,-57
15:38:1.29,Node5,-60
15:38:1.29,Node2,-50
15:38:18.319,Node1,-65
15:38:18.319,Node0,-59
15:38:18.319,Node3,-61
15:38:18.319,Node5,-61
15:38:18.319,Node2,-49
15:38:35.227,Node1,-60
15:38:35.227,Node0,-56
15:38:35.227,Node3,-58
15:38:35.227,Node5,-58
15:38:35.227,Node2,-51
15:38:56.163,Node1,-60
15:38:56.163,Node0,-52
15:38:56.163,Node3,-64
15:38:56.163,Node5,-56
15:38:56.163,Node2,-48
15:39:13.089,Node1,-61
15:39:13.089,Node0,-51
15:39:13.089,Node3,-57
15:39:13.089,Node5,-57
15:39:13.089,Node2,-52
15:39:30.011,Node1,-71
15:39:30.011,Node0,-52
15:39:30.011,Node3,-61
15:39:30.011,Node5,-57
15:39:30.011,Node2,-53
15:39:44.973,Node1,-65
15:39:44.973,Node0,-52
15:39:44.973,Node3,-56
15:39:44.973,Node5,-58
15:39:44.973,Node2,-51
15:40:1.904,Node1,-69
15:40:1.904,Node0,-53
15:40:1.904,Node3,-63
15:40:1.904,Node5,-59
15:40:1.904,Node2,-50
15:40:18.821,Node1,-72
15:40:18.821,Node0,-52
15:40:18.821,Node3,-63
15:40:18.821,Node5,-62
