0,0,0
15:59:1.093,Node1,9.1304
15:59:1.093,Node0,3.3333
15:59:1.093,Node3,22.1739
15:59:1.093,Node5,13.4783
15:59:1.093,Node2,22.1739
15:59:18.054,Node1,13.4783
15:59:18.054,Node0,4.7826
15:59:18.054,Node3,25.0725
15:59:18.054,Node5,6.2319
15:59:18.054,Node2,4.7826
15:59:32.928,Node1,10.5797
15:59:32.928,Node0,6.2319
15:59:32.928,Node3,19.2754
15:59:32.928,Node5,9.1304
15:59:32.928,Node2,6.2319
15:59:49.789,Node1,10.5797
15:59:49.789,Node0,14.9275
15:59:49.789,Node3,25.0725
15:59:49.789,Node5,6.2319
15:59:49.789,Node2,7.6812
16:0:6.707,Node1,9.1304
16:0:6.707,Node0,16.3768
16:0:6.707,Node3,10.5797
16:0:6.707,Node5,9.1304
16:0:6.707,Node2,4.7826
16:0:23.617,Node1,9.1304
16:0:23.617,Node0,20.7246
16:0:23.617,Node3,10.5797
16:0:23.617,Node5,1.8841
16:0:23.617,Node2,4.7826
16:0:38.474,Node1,12.029
16:0:38.474,Node0,25.0725
16:0:38.474,Node3,0
16:0:38.474,Node5,7.6812
16:0:38.474,Node2,6.2319
16:0:53.339,Node1,13.4783
16:0:53.339,Node0,17.8261
16:0:53.339,Node3,17.8261
16:0:53.339,Node5,13.4783
16:0:53.339,Node2,4.7826
16:1:10.257,Node1,12.029
16:1:10.257,Node0,16.3768
16:1:10.257,Node3,26.5217
16:1:10.257,Node5,10.5797
16:1:10.257,Node2,4.7826
16:1:27.159,Node1,10.5797
16:1:27.159,Node0,13.4783
16:1:27.159,Node3,20.7246
16:1:27.159,Node5,10.5797
16:1:27.159,Node2,6.2319
16:1:42.027,Node1,12.029
16:1:42.027,Node0,10.5797
16:1:42.027,Node3,26.5217
16:1:42.027,Node5,9.1304
16:1:42.027,Node2,7.6812
16:2:4.96,Node1,7.6812
16:2:4.96,Node0,7.6812
16:2:4.96,Node3,30.8696
16:2:4.96,Node5,3.3333
16:2:4.96,Node2,9.1304
16:2:21.865,Node1,7.6812
16:2:21.865,Node0,7.6812
16:2:21.865,Node3,25.0725
16:2:21.865,Node5,6.2319
16:2:21.865,Node2,9.1304
16:2:38.759,Node1,9.1304
16:2:38.759,Node0,10.5797
16:2:38.759,Node3,14.9275
16:2:38.759,Node5,9.1304
16:2:38.759,Node2,10.5797
16:2:53.669,Node1,6.2319
16:2:53.669,Node0,6.2319
16:2:53.669,Node3,10.5797
16:2:53.669,Node5,16.3768
16:2:53.669,Node2,13.4783
16:3:10.551,Node1,7.6812
16:3:10.551,Node0,10.5797
16:3:10.551,Node3,38.1159
16:3:10.551,Node5,13.4783
16:3:10.551,Node2,6.2319
16:3:25.42,Node1,9.1304
16:3:25.42,Node0,6.2319
16:3:25.42,Node3,12.029
16:3:25.42,Node5,6.2319
16:3:25.42,Node2,7.6812
16:3:42.294,Node1,7.6812
16:3:42.294,Node0,9.1304
16:3:42.294,Node3,13.4783
16:3:42.294,Node5,9.1304
16:3:42.294,Node2,7.6812
16:3:57.16,Node1,7.6812
16:3:57.16,Node0,6.2319
16:3:57.16,Node3,13.4783
16:3:57.16,Node5,13.4783
16:3:57.16,Node2,9.1304
16:4:14.055,Node1,9.1304
16:4:14.055,Node0,6.2319
16:4:14.055,Node3,7.6812
16:4:14.055,Node5,12.029
16:4:14.055,Node2,10.5797
16:4:30.936,Node1,10.5797
16:4:30.936,Node0,9.1304
16:4:30.936,Node3,9.1304
16:4:30.936,Node5,14.9275
16:4:30.936,Node2,6.2319
16:4:45.819,Node1,7.6812
16:4:45.819,Node0,9.1304
16:4:45.819,Node3,12.029
16:4:45.819,Node5,13.4783
16:4:45.819,Node2,9.1304
16:5:8.71,Node1,6.2319
16:5:8.71,Node0,9.1304
16:5:8.71,Node3,10.5797
16:5:8.71,Node5,10.5797
16:5:8.71,Node2,14.9275
16:5:23.61,Node1,7.6812
16:5:23.61,Node0,9.1304
16:5:23.61,Node3,14.9275
16:5:23.61,Node5,7.6812
16:5:23.61,Node2,1.8841
16:5:40.513,Node1,6.2319
16:5:40.513,Node0,7.6812
16:5:40.513,Node3,4.7826
16:5:40.513,Node5,6.2319
16:5:40.513,Node2,6.2319
16:5:57.396,Node1,7.6812
16:5:57.396,Node0,4.7826
16:5:57.396,Node3,7.6812
16:5:57.396,Node5,4.7826
16:5:57.396,Node2,10.5797
16:6:12.324,Node1,7.6812
16:6:12.324,Node0,7.6812
16:6:12.324,Node3,9.1304
16:6:12.324,Node5,12.029
16:6:12.324,Node2,4.7826
16:6:29.275,Node1,9.1304
16:6:29.275,Node0,7.6812
16:6:29.275,Node3,12.029
16:6:29.275,Node5,7.6812
16:6:29.275,Node2,4.7826
16:6:44.231,Node1,7.6812
16:6:44.231,Node0,4.7826
16:6:44.231,Node3,9.1304
16:6:44.231,Node5,13.4783
16:6:44.231,Node2,4.7826
16:7:1.185,Node1,4.7826
16:7:1.185,Node0,7.6812
16:7:1.185,Node3,12.029
16:7:1.185,Node5,12.029
16:7:1.185,Node2,4.7826
16:7:18.089,Node1,7.6812
16:7:18.089,Node0,10.5797
16:7:18.089,Node3,7.6812
16:7:18.089,Node5,19.2754
16:7:18.089,Node2,3.3333
16:7:35.002,Node1,6.2319
16:7:35.002,Node0,6.2319
16:7:35.002,Node3,12.029
16:7:35.002,Node5,12.029
16:7:35.002,Node2,6.2319
16:7:51.936,Node1,9.1304
16:7:51.936,Node0,7.6812
16:7:51.936,Node3,10.5797
16:7:51.936,Node5,13.4783
16:7:51.936,Node2,17.8261
16:8:14.926,Node1,6.2319
16:8:14.926,Node0,20.7246
16:8:14.926,Node3,9.1304
16:8:14.926,Node5,6.2319
16:8:14.926,Node2,9.1304
16:8:29.832,Node1,10.5797
16:8:29.832,Node0,9.1304
16:8:29.832,Node3,14.9275
16:8:29.832,Node5,12.029
16:8:29.832,Node2,12.029
16:8:46.763,Node1,14.9275
16:8:46.763,Node0,13.4783
16:8:46.763,Node3,6.2319
16:8:46.763,Node5,16.3768
16:8:46.763,Node2,7.6812
16:9:3.694,Node1,10.5797
16:9:3.694,Node0,13.4783
16:9:3.694,Node3,16.3768
16:9:3.694,Node5,12.029
16:9:3.694,Node2,12.029
16:9:18.573,Node1,12.029
16:9:18.573,Node0,14.9275
16:9:18.573,Node3,13.4783
16:9:18.573,Node5,9.1304
16:9:18.573,Node2,14.9275
16:9:35.521,Node1,10.5797
16:9:35.521,Node0,12.029
16:9:35.521,Node3,14.9275
16:9:35.521,Node5,14.9275
16:9:35.521,Node2,16.3768
16:9:52.474,Node1,12.029
16:9:52.474,Node0,13.4783
16:9:52.474,Node3,10.5797
16:9:52.474,Node5,14.9275
16:9:52.474,Node2,10.5797
16:10:7.401,Node1,6.2319
16:10:7.401,Node0,17.8261
16:10:7.401,Node3,9.1304
16:10:7.401,Node5,12.029
16:10:7.401,Node2,13.4783
16:10:24.35,Node1,10.5797
16:10:24.35,Node0,9.1304
16:10:24.35,Node3,7.6812
16:10:24.35,Node5,10.5797
16:10:24.35,Node2,9.1304
16:10:41.257,Node1,12.029
16:10:41.257,Node0,7.6812
16:10:41.257,Node3,4.7826
16:10:41.257,Node5,10.5797
16:10:41.257,Node2,9.1304
16:10:56.157,Node1,9.1304
16:10:56.157,Node0,9.1304
16:10:56.157,Node3,4.7826
16:10:56.157,Node5,9.1304
16:10:56.157,Node2,13.4783
16:11:21.118,Node1,13.4783
16:11:21.118,Node0,9.1304
16:11:21.118,Node3,6.2319
16:11:21.118,Node5,10.5797
16:11:21.118,Node2,13.4783
16:11:36.04,Node1,7.6812
16:11:36.04,Node0,7.6812
16:11:36.04,Node3,13.4783
16:11:36.04,Node5,19.2754
16:11:36.04,Node2,9.1304
16:11:52.949,Node1,9.1304
16:11:52.949,Node0,6.2319
16:11:52.949,Node3,12.029
16:11:52.949,Node5,12.029
16:11:52.949,Node2,9.1304
16:12:9.85,Node1,9.1304
16:12:9.85,Node0,6.2319
16:12:9.85,Node3,10.5797
16:12:9.85,Node5,19.2754
16:12:9.85,Node2,17.8261
16:12:26.796,Node1,10.5797
16:12:26.796,Node0,3.3333
16:12:26.796,Node3,12.029
16:12:26.796,Node5,16.3768
16:12:26.796,Node2,13.4783
16:12:43.74,Node1,6.2319
16:12:43.74,Node0,7.6812
16:12:43.74,Node3,9.1304
16:12:43.74,Node5,22.1739
16:12:43.74,Node2,10.5797
16:12:58.697,Node1,9.1304
16:12:58.697,Node0,4.7826
16:12:58.697,Node3,14.9275
16:12:58.697,Node5,14.9275
16:12:58.697,Node2,9.1304
16:13:15.622,Node1,7.6812
16:13:15.622,Node0,9.1304
16:13:15.622,Node3,9.1304
16:13:15.622,Node5,14.9275
16:13:15.622,Node2,10.5797
16:13:32.589,Node1,6.2319
16:13:32.589,Node0,4.7826
16:13:32.589,Node3,12.029
16:13:32.589,Node5,16.3768
16:13:32.589,Node2,27.971
16:13:47.489,Node1,6.2319
16:13:47.489,Node0,4.7826
16:13:47.489,Node3,13.4783
16:13:47.489,Node5,13.4783
16:13:47.489,Node2,20.7246
16:14:4.395,Node1,7.6812
16:14:4.395,Node0,7.6812
16:14:4.395,Node3,14.9275
16:14:4.395,Node5,22.1739
16:14:4.395,Node2,19.2754
16:14:27.297,Node1,6.2319
16:14:27.297,Node0,9.1304
16:14:27.297,Node3,13.4783
16:14:27.297,Node5,13.4783
16:14:27.297,Node2,9.1304
16:14:42.255,Node1,10.5797
16:14:42.255,Node0,4.7826
16:14:42.255,Node3,10.5797
16:14:42.255,Node5,10.5797
16:14:42.255,Node2,12.029
16:14:59.191,Node1,10.5797
16:14:59.191,Node0,6.2319
16:14:59.191,Node3,12.029
16:14:59.191,Node5,12.029
16:14:59.191,Node2,6.2319
16:15:14.165,Node1,9.1304
16:15:14.165,Node0,12.029
16:15:14.165,Node3,10.5797
16:15:14.165,Node5,14.9275
16:15:14.165,Node2,20.7246
16:15:31.08,Node1,9.1304
16:15:31.08,Node0,10.5797
16:15:31.08,Node3,10.5797
16:15:31.08,Node5,16.3768
16:15:31.08,Node2,20.7246
16:15:47.988,Node1,13.4783
16:15:47.988,Node0,9.1304
16:15:47.988,Node3,12.029
16:15:47.988,Node5,22.1739
16:15:47.988,Node2,13.4783
16:16:4.932,Node1,10.5797
16:16:4.932,Node0,13.4783
16:16:4.932,Node3,4.7826
16:16:4.932,Node5,19.2754
16:16:4.932,Node2,14.9275
16:16:21.806,Node1,12.029
16:16:21.806,Node0,10.5797
16:16:21.806,Node3,6.2319
16:16:21.806,Node5,9.1304
16:16:21.806,Node2,9.1304
16:16:36.753,Node1,7.6812
16:16:36.753,Node0,13.4783
16:16:36.753,Node3,13.4783
16:16:36.753,Node5,13.4783
16:16:36.753,Node2,29.4203
16:16:53.896,Node1,9.1304
16:16:53.896,Node0,4.7826
16:16:53.896,Node3,10.5797
16:16:53.896,Node5,17.8261
16:16:53.896,Node2,27.971
16:17:8.965,Node1,10.5797
16:17:8.965,Node0,12.029
16:17:8.965,Node3,13.4783
16:17:8.965,Node5,9.1304
16:17:8.965,Node2,17.8261
16:17:31.856,Node1,7.6812
16:17:31.856,Node0,9.1304
16:17:31.856,Node3,9.1304
16:17:31.856,Node5,9.1304
16:17:31.856,Node2,7.6812
16:17:48.797,Node1,7.6812
16:17:48.797,Node0,6.2319
16:17:48.797,Node3,13.4783
16:17:48.797,Node5,9.1304
16:17:48.797,Node2,6.2319
16:18:3.687,Node1,10.5797
16:18:3.687,Node0,9.1304
16:18:3.687,Node3,12.029
16:18:3.687,Node5,9.1304
16:18:3.687,Node2,7.6812
16:18:20.6,Node1,7.6812
16:18:20.6,Node0,13.4783
16:18:20.6,Node3,9.1304
16:18:20.6,Node5,10.5797
16:18:20.6,Node2,4.7826
16:18:35.5,Node1,9.1304
16:18:35.5,Node0,10.5797
16:18:35.5,Node3,7.6812
16:18:35.5,Node5,13.4783
16:18:35.5,Node2,4.7826
16:18:52.428,Node1,10.5797
16:18:52.428,Node0,13.4783
16:18:52.428,Node3,12.029
16:18:52.428,Node5,10.5797
16:18:52.428,Node2,9.1304
16:19:9.36,Node1,12.029
16:19:9.36,Node0,12.029
16:19:9.36,Node3,0
16:19:9.36,Node5,9.1304
16:19:9.36,Node2,4.7826
16:19:24.255,Node1,10.5797
16:19:24.255,Node0,9.1304
16:19:24.255,Node3,12.029
16:19:24.255,Node5,9.1304
16:19:24.255,Node2,3.3333
16:19:39.13,Node1,13.4783
16:19:39.13,Node0,7.6812
16:19:39.13,Node3,16.3768
16:19:39.13,Node5,9.1304
16:19:39.13,Node2,4.7826
16:19:56.073,Node1,10.5797
16:19:56.073,Node0,6.2319
16:19:56.073,Node3,10.5797
16:19:56.073,Node5,9.1304
16:19:56.073,Node2,4.7826
16:20:12.969,Node1,12.029
16:20:12.969,Node0,9.1304
16:20:12.969,Node3,12.029
16:20:12.969,Node5,6.2319
16:20:12.969,Node2,4.7826
16:20:35.896,Node1,16.3768
16:20:35.896,Node0,9.1304
16:20:35.896,Node3,13.4783
16:20:35.896,Node5,9.1304
16:20:35.896,Node2,6.2319
16:20:52.833,Node1,10.5797
16:20:52.833,Node0,4.7826
16:20:52.833,Node3,12.029
16:20:52.833,Node5,13.4783
16:20:52.833,Node2,6.2319
16:21:7.782,Node1,10.5797
16:21:7.782,Node0,6.2319
16:21:7.782,Node3,9.1304
16:21:7.782,Node5,14.9275
16:21:7.782,Node2,4.7826
16:21:24.749,Node1,12.029
16:21:24.749,Node0,12.029
16:21:24.749,Node3,19.2754
16:21:24.749,Node5,12.029
16:21:24.749,Node2,4.7826
16:21:39.696,Node1,14.9275
16:21:39.696,Node0,12.029
16:21:39.696,Node3,14.9275
16:21:39.696,Node5,10.5797
16:21:39.696,Node2,3.3333
16:21:56.622,Node1,10.5797
16:21:56.622,Node0,9.1304
16:21:56.622,Node3,12.029
16:21:56.622,Node5,9.1304
16:21:56.622,Node2,4.7826
16:22:13.575,Node1,12.029
16:22:13.575,Node0,10.5797
16:22:13.575,Node3,13.4783
16:22:13.575,Node5,9.1304
16:22:13.575,Node2,6.2319
16:22:30.527,Node1,13.4783
16:22:30.527,Node0,6.2319
16:22:30.527,Node3,14.9275
16:22:30.527,Node5,10.5797
16:22:30.527,Node2,3.3333
