0,0,0
15:5:27.729,Node1,-54
15:5:27.729,Node0,-51
15:5:27.729,Node3,-52
15:5:27.729,Node5,-50
15:5:27.729,Node2,-53
15:5:44.659,Node1,-55
15:5:44.659,Node0,-58
15:5:44.659,Node3,-52
15:5:44.659,Node5,-50
15:5:44.659,Node2,-57
15:6:1.564,Node1,-56
15:6:1.564,Node0,-57
15:6:1.564,Node3,-53
15:6:1.564,Node5,-51
15:6:1.564,Node2,-53
15:6:18.435,Node1,-58
15:6:18.435,Node0,-58
15:6:18.435,Node3,-56
15:6:18.435,Node5,-51
15:6:18.435,Node2,-54
15:6:35.328,Node1,-53
15:6:35.328,Node0,-58
15:6:35.328,Node3,-56
15:6:35.328,Node5,-50
15:6:35.328,Node2,-53
15:6:52.206,Node1,-65
15:6:52.206,Node0,-58
15:6:52.206,Node3,-55
15:6:52.206,Node5,-50
15:6:52.206,Node2,-51
15:7:7.069,Node1,-55
15:7:7.069,Node0,-58
15:7:7.069,Node3,-56
15:7:7.069,Node5,-50
15:7:7.069,Node2,-54
15:7:21.967,Node1,-56
15:7:21.967,Node0,-60
15:7:21.967,Node3,-54
15:7:21.967,Node5,-50
15:7:21.967,Node2,-52
15:7:38.919,Node1,-55
15:7:38.919,Node0,-63
15:7:38.919,Node3,-54
15:7:38.919,Node5,-49
15:7:38.919,Node2,-53
15:7:53.796,Node1,-55
15:7:53.796,Node0,-60
15:7:53.796,Node3,-55
15:7:53.796,Node5,-49
15:7:53.796,Node2,-51
15:8:10.716,Node1,-53
15:8:10.716,Node0,-59
15:8:10.716,Node3,-58
15:8:10.716,Node5,-50
15:8:10.716,Node2,-54
15:8:33.604,Node1,-56
15:8:33.604,Node0,-62
15:8:33.604,Node3,-57
15:8:33.604,Node5,-52
15:8:33.604,Node2,-52
15:8:48.518,Node1,-55
15:8:48.518,Node0,-59
15:8:48.518,Node3,-60
15:8:48.518,Node5,-53
15:8:48.518,Node2,-51
15:9:5.451,Node1,-56
15:9:5.451,Node0,-61
15:9:5.451,Node3,-63
15:9:5.451,Node5,-52
15:9:5.451,Node2,-51
15:9:20.321,Node1,-55
15:9:20.321,Node0,-61
15:9:20.321,Node3,-54
15:9:20.321,Node5,-52
15:9:20.321,Node2,-51
15:9:37.206,Node1,-58
15:9:37.206,Node0,-62
15:9:37.206,Node3,-56
15:9:37.206,Node5,-53
15:9:37.206,Node2,-51
15:9:54.125,Node1,-58
15:9:54.125,Node0,-53
15:9:54.125,Node3,-58
15:9:54.125,Node5,-53
15:9:54.125,Node2,-50
15:10:11.051,Node1,-55
15:10:11.051,Node0,-54
15:10:11.051,Node3,-54
15:10:11.051,Node5,-52
15:10:11.051,Node2,-53
15:10:25.987,Node1,-61
15:10:25.987,Node0,-53
15:10:25.987,Node3,-54
15:10:25.987,Node5,-52
15:10:25.987,Node2,-53
15:10:40.86,Node1,-55
15:10:40.86,Node0,-53
15:10:40.86,Node3,-58
15:10:40.86,Node5,-50
15:10:40.86,Node2,-53
15:10:55.768,Node1,-53
15:10:55.768,Node0,-53
15:10:55.768,Node3,-57
15:10:55.768,Node5,-50
15:10:55.768,Node2,-53
15:11:12.626,Node1,-55
15:11:12.626,Node0,-52
15:11:12.626,Node3,-55
15:11:12.626,Node5,-52
15:11:12.626,Node2,-53
15:11:35.578,Node1,-54
15:11:35.578,Node0,-53
15:11:35.578,Node3,-61
15:11:35.578,Node5,-50
15:11:35.578,Node2,-52
15:11:50.475,Node1,-57
15:11:50.475,Node0,-54
